file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Overchan-Android;nya.miku.wishmaster.http.recaptcha.RecaptchaNoscript;RecaptchaNoscript;class;6;10;1;0;0;1;5;56;
Overchan-Android;nya.miku.wishmaster.containers.WriteableZip;WriteableZip;class;25;45;3;0;0;11;8;179;
Overchan-Android;nya.miku.wishmaster.http.recaptcha.Recaptcha2;Recaptcha2;class;3;2;1;0;0;1;0;29;
Overchan-Android;nya.miku.wishmaster.ui.gallery.GallerySettings;GallerySettings;class;9;36;1;0;0;18;13;113;
Overchan-Android;nya.miku.wishmaster.chans.makaba.MakabaConstants;MakabaConstants;class;1;0;1;0;0;0;17;64;
Overchan-Android;nya.miku.wishmaster.cache.BitmapCache;BitmapCache;class;30;86;2;0;15;8;16;353;
Overchan-Android;nya.miku.wishmaster.lib.pullable_layout.CircleImageView;CircleImageView;class;16;19;3;0;10;9;12;123;
Overchan-Android;nya.miku.wishmaster.containers.ReadableContainer;ReadableContainer;class;12;12;1;3;6;4;0;67;
Overchan-Android;nya.miku.wishmaster.lib.gallery.FixedSubsamplingScaleImageView;FixedSubsamplingScaleImageView;class;71;399;4;0;4348;104;101;1758;
Overchan-Android;nya.miku.wishmaster.ui.NewTabFragment;NewTabFragment;class;45;111;3;0;150;19;23;513;
Overchan-Android;nya.miku.wishmaster.ui.posting.PostFormActivity;PostFormActivity;class;58;210;2;0;428;26;29;606;
Overchan-Android;nya.miku.wishmaster.api.interfaces.ProgressListener;ProgressListener;interface;0;3;1;0;3;3;0;31;
Overchan-Android;nya.miku.wishmaster.ui.gallery.GalleryExceptionHandler;GalleryExceptionHandler;class;7;9;1;0;0;3;1;44;
Overchan-Android;nya.miku.wishmaster.containers.WriteableDirContainer;WriteableDirContainer;class;19;38;2;0;0;6;4;110;
Overchan-Android;nya.miku.wishmaster.lib.pullable_layout.MaterialProgressDrawable;MaterialProgressDrawable;class;38;85;4;0;1689;58;55;606;
Overchan-Android;nya.miku.wishmaster.ui.gallery.GalleryFullscreen;GalleryFullscreen;class;17;41;1;0;28;13;13;177;
Overchan-Android;nya.miku.wishmaster.lib.appcompat_v7_actionbartoogle.ActionBarDrawerToggle;ActionBarDrawerToggle;class;29;94;3;1;695;46;14;586;
Overchan-Android;nya.miku.wishmaster.lib.org_json.JSONException;JSONException;class;2;3;2;0;1;3;2;44;
Overchan-Android;nya.miku.wishmaster.http.streamer.HttpRequestException;HttpRequestException;class;4;12;2;0;3;3;1;48;
Overchan-Android;nya.miku.wishmaster.ui.presentation.ClickableURLSpan;ClickableURLSpan;class;9;9;2;0;0;7;3;62;
Overchan-Android;nya.miku.wishmaster.chans.mentachsu.MentachsuModule;MentachsuModule;class;24;27;5;0;153;18;7;179;
Overchan-Android;nya.miku.wishmaster.lib.ClickableLinksTextView;ClickableLinksTextView;class;14;40;3;0;29;10;5;162;
Overchan-Android;nya.miku.wishmaster.api.AbstractChanModule;AbstractChanModule;class;42;62;1;8;294;27;14;397;
Overchan-Android;nya.miku.wishmaster.chans.infinity.InfinityPlModule;InfinityPlModule;class;19;28;6;0;19;7;4;107;
Overchan-Android;nya.miku.wishmaster.http.recaptcha.Recaptcha2solved;Recaptcha2solved;class;4;6;1;0;0;2;1;37;
Overchan-Android;nya.miku.wishmaster.api.util.WakabaReader;WakabaReader;class;22;182;1;4;168;24;37;549;
Overchan-Android;nya.miku.wishmaster.lib.dslv.SimpleFloatViewManager;SimpleFloatViewManager;class;10;9;1;0;4;5;4;74;
Overchan-Android;nya.miku.wishmaster.lib.WebViewProxy;WebViewProxy;class;3;2;1;0;1;2;1;99;
Overchan-Android;nya.miku.wishmaster.ui.downloading.DownloadingService;DownloadingService;class;77;310;4;0;647;33;53;923;
Overchan-Android;nya.miku.wishmaster.api.AbstractWakabaModule;AbstractWakabaModule;class;28;58;3;6;210;21;3;203;
Overchan-Android;nya.miku.wishmaster.ui.posting.PostingProgressActivity;PostingProgressActivity;class;19;29;2;0;21;7;8;136;
Overchan-Android;nya.miku.wishmaster.lib.UriFileUtils;UriFileUtils;class;7;43;1;0;36;9;0;131;
Overchan-Android;nya.miku.wishmaster.common.MainApplication;MainApplication;class;36;43;2;0;92;16;17;261;
Overchan-Android;nya.miku.wishmaster.chans.cirno.Chan410Reader;Chan410Reader;class;8;19;2;0;10;5;3;70;
Overchan-Android;nya.miku.wishmaster.ui.Clipboard;Clipboard;class;3;4;1;0;1;2;0;37;
Overchan-Android;nya.miku.wishmaster.http.client.HttpClientWrapper;HttpClientWrapper;class;16;14;1;0;66;12;0;89;
Overchan-Android;nya.miku.wishmaster.ui.posting.PostingService;PostingService;class;28;66;4;0;41;12;29;320;
Overchan-Android;nya.miku.wishmaster.chans.cirno.MikubaReader;MikubaReader;class;24;140;1;0;39;15;30;399;
Overchan-Android;nya.miku.wishmaster.lib.ClickableToast;ClickableToast;class;28;49;3;0;187;20;9;208;
Overchan-Android;nya.miku.wishmaster.lib.org_json.JSONString;JSONString;interface;0;1;1;0;0;1;0;23;
Overchan-Android;nya.miku.wishmaster.ui.ShareActivity;ShareActivity;class;21;46;2;0;6;4;3;170;
Overchan-Android;nya.miku.wishmaster.http.ExtendedMultipartBuilder;ExtendedMultipartBuilder;class;20;35;1;0;124;22;8;182;
Overchan-Android;nya.miku.wishmaster.chans.dvachnet.DvachnetModule;DvachnetModule;class;29;69;4;0;77;14;5;293;
Overchan-Android;nya.miku.wishmaster.ui.ReverseImageSearch;ReverseImageSearch;class;7;5;1;0;0;4;3;59;
Overchan-Android;nya.miku.wishmaster.chans.dfwk.DFWKModule;DFWKModule;class;28;26;5;0;89;13;7;146;
Overchan-Android;nya.miku.wishmaster.ui.gallery.GalleryBackend;GalleryBackend;class;55;121;3;0;241;29;19;390;
Overchan-Android;nya.miku.wishmaster.ui.posting.PostFormMarkup;PostFormMarkup;class;4;30;1;0;0;2;6;122;
Overchan-Android;nya.miku.wishmaster.http.cloudflare.InterceptingAntiDDOS;InterceptingAntiDDOS;class;25;23;2;0;8;6;7;149;
Overchan-Android;nya.miku.wishmaster.ui.BoardsListFragment;BoardsListFragment;class;61;162;4;0;335;33;31;540;
Overchan-Android;nya.miku.wishmaster.common.Async;Async;class;9;4;1;0;0;4;3;49;
Overchan-Android;nya.miku.wishmaster.ui.settings.CustomThemeListActivity;CustomThemeListActivity;class;27;38;2;0;18;4;8;185;
Overchan-Android;nya.miku.wishmaster.http.streamer.HttpWrongStatusCodeException;HttpWrongStatusCodeException;class;3;7;2;0;0;5;3;71;
Overchan-Android;nya.miku.wishmaster.api.HttpChanModule;HttpChanModule;interface;3;2;1;0;1;2;0;35;
Overchan-Android;nya.miku.wishmaster.ui.settings.Wifi;Wifi;class;8;5;2;0;4;4;2;49;
