file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
rental-calc;protect.rentalcalc.PropertyOverviewActivity;PropertyOverviewActivity;class;14;25;2;0;66;5;3;187;
rental-calc;protect.rentalcalc.DictionaryItem;DictionaryItem;class;1;2;1;0;0;2;3;19;
rental-calc;protect.rentalcalc.ParkingType;ParkingType;enum;2;7;1;0;0;2;2;35;
rental-calc;protect.rentalcalc.DatabaseTest;DatabaseTest;class;15;11;1;0;0;10;1;208;
rental-calc;protect.rentalcalc.Property;Property;class;15;21;1;0;0;4;38;219;
rental-calc;protect.rentalcalc.ItemizationAdapter;ItemizationAdapter;class;23;23;2;0;27;4;7;144;
rental-calc;protect.rentalcalc.PropertyProjectionsActivity;PropertyProjectionsActivity;class;19;18;2;0;19;3;20;191;
rental-calc;protect.rentalcalc.PropertyViewActivityTest;PropertyViewActivityTest;class;24;18;1;0;100;16;1;292;
rental-calc;protect.rentalcalc.PropertyPicturesActivityTest;PropertyPicturesActivityTest;class;16;7;1;0;19;7;1;115;
rental-calc;protect.rentalcalc.PropertyWorksheetActivityTest;PropertyWorksheetActivityTest;class;33;19;1;0;133;18;4;419;
rental-calc;protect.rentalcalc.DictionaryActivity;DictionaryActivity;class;11;11;2;0;1;2;0;73;
rental-calc;protect.rentalcalc.IntroSlide;IntroSlide;class;7;2;2;0;0;2;1;21;
rental-calc;protect.rentalcalc.ParkingTypeTest;ParkingTypeTest;class;8;2;1;0;0;1;0;29;
rental-calc;protect.rentalcalc.DBHelper;DBHelper;class;15;26;2;0;0;11;43;351;
rental-calc;protect.rentalcalc.TestHelper;TestHelper;class;4;28;1;0;6;4;0;120;
rental-calc;protect.rentalcalc.view.CurrencyTextView;CurrencyTextView;class;5;4;2;0;6;4;0;33;
rental-calc;protect.rentalcalc.PictureViewActivity;PictureViewActivity;class;17;17;2;0;4;3;2;118;
rental-calc;protect.rentalcalc.DatabaseTestHelper;DatabaseTestHelper;class;6;7;1;0;10;5;1;151;
rental-calc;protect.rentalcalc.Itemization;Itemization;class;1;1;1;0;0;1;2;11;
rental-calc;protect.rentalcalc.DictionaryActivityTest;DictionaryActivityTest;class;21;15;1;0;34;9;1;142;
rental-calc;protect.rentalcalc.PropertiesListActivityTest;PropertiesListActivityTest;class;21;6;1;0;7;6;2;117;
rental-calc;protect.rentalcalc.PropertyCursorAdapter;PropertyCursorAdapter;class;11;9;2;0;0;3;3;63;
rental-calc;protect.rentalcalc.PropertySummaryActivity;PropertySummaryActivity;class;16;22;2;0;3;2;1;169;
rental-calc;protect.rentalcalc.PropertyProjectionsActivityTest;PropertyProjectionsActivityTest;class;24;13;1;0;60;12;2;392;
rental-calc;protect.rentalcalc.PropertySummaryActivityTest;PropertySummaryActivityTest;class;23;13;1;0;60;12;2;338;
rental-calc;protect.rentalcalc.PropertyCursorAdapterTest;PropertyCursorAdapterTest;class;17;12;1;0;0;3;2;98;
rental-calc;protect.rentalcalc.PropertyType;PropertyType;enum;2;7;1;0;0;2;2;36;
rental-calc;protect.rentalcalc.PropertyCalculation;PropertyCalculation;class;0;0;1;0;0;0;17;41;
rental-calc;protect.rentalcalc.PropertyNotesActivityTest;PropertyNotesActivityTest;class;19;13;1;0;58;13;1;176;
rental-calc;protect.rentalcalc.PropertyTypeTest;PropertyTypeTest;class;8;2;1;0;0;1;0;29;
rental-calc;protect.rentalcalc.PropertiesListActivity;PropertiesListActivity;class;29;26;2;0;28;7;2;206;
rental-calc;protect.rentalcalc.ItemizationActivityTest;ItemizationActivityTest;class;24;20;1;0;136;17;0;345;
rental-calc;protect.rentalcalc.CalcUtil;CalcUtil;class;7;32;1;0;3;3;0;131;
rental-calc;protect.rentalcalc.protect.rentalcalc.shadows.ShadowCursorAdapterRemover;ShadowCursorAdapterRemover;class;3;0;2;0;0;0;0;17;
rental-calc;protect.rentalcalc.PictureAdapter;PictureAdapter;class;51;103;3;0;43;16;16;511;
rental-calc;protect.rentalcalc.IntroActivity;IntroActivity;class;8;4;2;0;6;4;0;34;
rental-calc;protect.rentalcalc.PropertyViewActivity;PropertyViewActivity;class;22;39;2;0;4;5;17;264;
rental-calc;protect.rentalcalc.PropertyOverviewActivityTest;PropertyOverviewActivityTest;class;20;31;1;0;66;13;1;259;
rental-calc;protect.rentalcalc.PropertyNotesActivity;PropertyNotesActivity;class;12;15;2;0;4;5;4;86;
rental-calc;protect.rentalcalc.PictureViewActivityTest;PictureViewActivityTest;class;16;6;1;0;15;6;0;111;
rental-calc;protect.rentalcalc.ItemizeActivity;ItemizeActivity;class;18;25;2;0;3;4;2;135;
rental-calc;protect.rentalcalc.ItemizeOptionItem;ItemizeOptionItem;class;31;88;2;0;51;10;34;416;
