file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
sanity;cri.sanity.util.PrefixNum;PrefixNum;class;3;8;1;0;1;3;1;54;
sanity;cri.sanity.Alarmer;Alarmer;class;14;42;2;0;100;17;9;110;
sanity;cri.sanity.screen.NumsActivity;NumsActivity;class;29;84;5;0;172;20;9;247;
sanity;cri.sanity.BlankActivity;BlankActivity;class;13;39;2;0;13;10;6;105;
sanity;cri.sanity.pref.PEdit;PEdit;class;8;37;2;0;106;16;4;76;
sanity;cri.sanity.util.WifiTracker;WifiTracker;class;7;33;2;0;0;6;12;92;
sanity;cri.sanity.WakeService;WakeService;class;5;3;2;0;1;3;1;24;
sanity;cri.sanity.K;K;class;5;36;1;0;0;2;118;305;
sanity;cri.sanity.util.Blocker;Blocker;class;13;66;1;0;34;9;11;159;
sanity;cri.sanity.screen.GroupsActivity;GroupsActivity;class;19;60;5;0;52;15;5;175;
sanity;cri.sanity.screen.BlockerActivity;BlockerActivity;class;12;10;4;0;29;4;7;70;
sanity;cri.sanity.R;R;class;0;0;1;0;0;0;698;727;
sanity;cri.sanity.OutgoingReceiver;OutgoingReceiver;class;16;32;2;0;24;6;3;98;
sanity;cri.sanity.screen.DevicesActivity;DevicesActivity;class;5;8;4;0;10;1;0;42;
sanity;cri.sanity.pref.PFilter;PFilter;class;11;18;2;0;34;9;1;51;
sanity;cri.sanity.screen.NotifyActivity;NotifyActivity;class;3;1;4;0;0;1;0;17;
sanity;cri.sanity.PrefGroups;PrefGroups;class;20;8;1;0;28;8;1;100;
sanity;cri.sanity.screen.FilterActivity;FilterActivity;class;21;58;4;0;0;15;11;181;
sanity;cri.sanity.A;A;class;61;134;3;0;1672;81;22;315;
sanity;cri.sanity.ghost.GhostObj;GhostObj;class;4;20;1;1;0;13;3;58;
sanity;cri.sanity.AlarmService;AlarmService;class;10;15;4;0;0;4;3;45;
sanity;cri.sanity.BootReceiver;BootReceiver;class;4;3;2;0;0;1;0;13;
sanity;cri.sanity.BtReceiver;BtReceiver;class;6;8;2;0;0;1;0;66;
sanity;cri.sanity.MainService;MainService;class;7;15;3;0;5;6;2;50;
sanity;cri.sanity.screen.ContactsActivity;ContactsActivity;class;34;102;7;0;178;21;8;265;
sanity;cri.sanity.screen.AnonymActivity;AnonymActivity;class;7;10;4;0;1;1;1;39;
sanity;cri.sanity.ShortcutActivity;ShortcutActivity;class;42;139;2;0;545;25;13;360;
sanity;cri.sanity.screen.RecordActivity;RecordActivity;class;12;21;4;0;77;8;4;85;
sanity;cri.sanity.PrefActivity;PrefActivity;class;17;53;2;1;325;28;3;104;
sanity;cri.sanity.util.Alert;Alert;class;23;115;1;0;1629;55;18;362;
sanity;cri.sanity.screen.ProximityActivity;ProximityActivity;class;3;4;4;0;1;2;0;27;
sanity;cri.sanity.screen.UrgentActivity;UrgentActivity;class;6;3;4;0;1;2;2;26;
sanity;cri.sanity.Conf;Conf;class;0;0;1;0;0;0;27;31;
sanity;cri.sanity.ghost.ConnMan;ConnMan;class;2;12;2;0;6;4;0;19;
sanity;cri.sanity.util.Dev;Dev;class;13;61;1;0;327;27;5;179;
sanity;cri.sanity.TTS;TTS;class;11;50;1;0;0;7;17;123;
sanity;cri.sanity.Admin;Admin;class;16;20;2;0;24;7;1;62;
sanity;cri.sanity.screen.VibraActivity;VibraActivity;class;4;2;4;0;1;1;0;18;
sanity;cri.sanity.screen.BrowseActivity;BrowseActivity;class;28;68;5;0;0;12;16;223;
sanity;cri.sanity.ModeActivity;ModeActivity;class;12;35;2;0;17;9;8;112;
sanity;cri.sanity.screen.DateTimeActivity;DateTimeActivity;class;22;60;5;0;265;19;8;179;
sanity;cri.sanity.SpeakerListener;SpeakerListener;interface;0;1;1;0;0;1;0;5;
sanity;cri.sanity.util.License;License;class;8;31;1;0;54;8;8;95;
sanity;cri.sanity.RecService;RecService;class;16;141;2;0;186;24;27;283;
sanity;cri.sanity.screen.ProfileActivity;ProfileActivity;class;30;143;5;0;301;24;9;299;
sanity;cri.sanity.ScreenActivity;ScreenActivity;class;26;71;3;0;244;17;13;209;
sanity;cri.sanity.screen.SmsHistoryActivity;SmsHistoryActivity;class;9;14;6;0;25;8;5;64;
sanity;cri.sanity.ModeReceiver;ModeReceiver;class;5;15;2;0;0;1;1;38;
sanity;cri.sanity.screen.AboutActivity;AboutActivity;class;5;14;4;0;53;5;8;57;
sanity;cri.sanity.util.Rec;Rec;class;5;42;1;0;20;13;10;104;
sanity;cri.sanity.screen.PrefixActivity;PrefixActivity;class;24;67;5;0;131;18;6;200;
sanity;cri.sanity.util.Contacts;Contacts;class;5;22;1;0;10;5;4;78;
sanity;cri.sanity.PickupService;PickupService;class;17;32;2;0;4;7;7;91;
sanity;cri.sanity.pref.PPwd;PPwd;class;8;17;2;0;54;11;2;47;
sanity;cri.sanity.util.CallFilter;CallFilter;class;4;74;1;0;32;12;5;131;
sanity;cri.sanity.util.MobDataTracker;MobDataTracker;class;4;38;2;0;0;6;13;99;
sanity;cri.sanity.MainActivity;MainActivity;class;11;51;4;0;204;12;2;132;
sanity;cri.sanity.pref.PList;PList;class;9;36;2;0;124;17;2;74;
sanity;cri.sanity.util.Vibra;Vibra;class;2;17;1;0;4;4;6;39;
sanity;cri.sanity.screen.TtsActivity;TtsActivity;class;16;61;4;0;354;17;13;165;
sanity;cri.sanity.P;P;class;12;91;1;0;231;22;1;194;
sanity;cri.sanity.BootService;BootService;class;4;8;2;0;0;4;2;25;
sanity;cri.sanity.PhoneReceiver;PhoneReceiver;class;5;7;2;0;0;1;1;22;
sanity;cri.sanity.util.Goto;Goto;class;1;7;1;0;6;4;0;26;
sanity;cri.sanity.HistoryActivity;HistoryActivity;class;24;45;6;2;108;12;3;122;
sanity;cri.sanity.screen.AnswerActivity;AnswerActivity;class;3;1;4;0;0;1;0;12;
sanity;cri.sanity.util.Task;Task;class;9;35;2;0;0;12;3;82;
sanity;cri.sanity.screen.SpeakerActivity;SpeakerActivity;class;6;5;4;0;0;1;3;40;
sanity;com.android.internal.telephony.ITelephony;ITelephony;interface;0;5;1;0;10;5;0;51;
sanity;cri.sanity.ghost.WifiMan;WifiMan;class;1;3;2;0;3;3;5;16;
sanity;cri.sanity.screen.GeneralActivity;GeneralActivity;class;13;28;4;0;120;3;0;112;
sanity;cri.sanity.screen.VolumeActivity;VolumeActivity;class;7;10;4;0;6;4;0;52;
sanity;cri.sanity.PhoneListener;PhoneListener;class;19;300;2;0;436;35;33;514;
sanity;cri.sanity.SmsReceiver;SmsReceiver;class;31;113;2;0;83;12;8;221;
sanity;cri.sanity.screen.CallHistoryActivity;CallHistoryActivity;class;11;21;6;0;16;7;1;84;
